"Relative Intensity (%) Run #5";"Output Voltage Ch H (V) Run #5";"Output Current Ch H (A) Run #5";"Angle (rad) Run #5"
-0,15;7,01;0,68;0,000
-0,25;7,01;0,68;0,000
-0,23;7,01;0,68;0,000
0,02;7,01;0,68;0,000
-0,17;7,01;0,68;0,000
-0,09;7,01;0,68;0,000
0,06;7,01;0,68;0,000
0,05;7,01;0,68;0,000
0,03;7,01;0,68;0,000
0,11;7,01;0,68;0,000
0,15;7,01;0,68;0,000
0,09;7,01;0,68;0,000
0,08;7,01;0,68;0,000
0,15;7,01;0,68;0,000
0,15;7,01;0,68;0,000
0,16;7,01;0,68;0,000
0,13;7,01;0,68;0,000
0,15;7,01;0,68;0,000
0,20;7,01;0,68;0,000
0,20;7,01;0,68;0,000
0,19;7,01;0,68;-0,017
0,00;7,01;0,68;-0,017
0,00;7,01;0,68;-0,017
0,00;7,01;0,68;-0,017
0,00;7,01;0,68;-0,017
0,00;7,01;0,68;-0,017
0,00;7,02;0,68;-0,017
0,00;7,02;0,68;-0,017
0,00;7,02;0,68;-0,017
0,00;7,02;0,68;-0,017
0,00;7,02;0,68;0,000
0,00;7,02;0,68;0,000
0,00;7,02;0,68;0,000
0,00;7,02;0,68;0,000
0,00;7,02;0,68;0,000
0,00;7,02;0,68;0,000
0,00;7,02;0,68;0,000
0,00;7,02;0,68;0,000
0,00;7,02;0,68;0,000
0,00;7,02;0,68;0,000
0,00;7,02;0,68;0,000
0,00;7,02;0,68;0,000
0,00;7,02;0,68;0,000
0,00;7,02;0,68;0,000
0,00;7,02;0,68;0,000
0,00;7,02;0,68;0,000
0,00;7,02;0,68;0,000
0,00;7,02;0,68;0,000
0,00;7,02;0,68;0,000
0,00;7,02;0,68;0,000
0,00;7,02;0,68;0,000
0,00;7,02;0,68;0,000
0,00;7,02;0,68;0,000
0,00;7,02;0,68;0,000
0,00;7,02;0,68;0,000
0,00;7,02;0,68;0,000
0,00;7,02;0,68;0,000
0,03;7,02;0,68;0,000
0,07;7,02;0,68;0,000
0,06;7,02;0,68;0,000
0,13;7,02;0,68;0,000
0,14;7,02;0,68;0,000
0,02;7,02;0,68;0,000
0,08;7,02;0,68;0,000
-0,12;7,02;0,68;0,000
-0,02;7,02;0,68;0,000
-0,09;7,02;0,68;0,000
-0,07;7,02;0,68;0,000
-0,07;7,02;0,68;0,000
-0,06;7,02;0,68;0,000
0,02;7,02;0,68;0,000
0,00;7,02;0,68;0,000
0,13;7,02;0,68;0,000
0,05;7,02;0,68;0,000
0,02;7,02;0,68;0,000
-0,08;7,02;0,68;0,000
0,03;7,02;0,68;0,000
0,11;7,02;0,68;0,000
0,04;7,02;0,67;0,000
0,01;7,02;0,67;0,000
-0,02;7,02;0,67;0,000
-0,04;7,02;0,67;0,000
0,05;7,02;0,67;0,000
0,05;7,02;0,67;0,000
0,01;7,02;0,67;0,000
0,02;7,02;0,67;0,000
-0,18;7,02;0,67;0,000
-0,10;7,02;0,67;0,000
0,08;7,02;0,67;0,000
-0,01;7,02;0,67;0,000
-0,07;7,02;0,67;0,000
-0,11;7,02;0,67;0,000
0,03;7,02;0,67;0,017
0,08;7,02;0,67;0,017
0,14;7,02;0,67;0,017
0,15;7,02;0,67;0,017
0,25;7,02;0,67;0,122
0,19;7,02;0,67;0,297
0,16;7,02;0,67;0,506
0,18;7,02;0,67;0,716
0,14;7,02;0,67;0,890
0,24;7,02;0,67;1,047
0,15;7,02;0,67;1,257
-0,01;7,02;0,67;1,431
-0,03;7,02;0,67;1,623
0,08;7,02;0,67;1,798
0,04;7,02;0,67;1,955
0,05;7,02;0,67;2,094
0,02;7,02;0,67;2,269
0,02;7,02;0,67;2,461
0,07;7,02;0,67;2,653
-0,03;7,02;0,67;2,827
0,01;7,02;0,67;3,002
-0,02;7,02;0,67;3,194
0,04;7,02;0,67;3,403
-0,01;7,02;0,67;3,630
-0,04;7,02;0,67;3,857
-0,13;7,02;0,67;4,084
0,06;7,02;0,67;4,311
0,12;7,02;0,67;4,555
0,01;7,02;0,67;4,800
0,06;7,02;0,67;4,992
-0,02;7,02;0,67;5,201
0,02;7,02;0,67;5,393
-0,08;7,02;0,67;5,550
-0,02;7,02;0,67;5,672
-0,05;7,02;0,67;5,777
-0,07;7,02;0,67;5,882
-0,11;7,02;0,67;6,056
-0,02;7,02;0,67;6,266
-0,05;7,02;0,67;6,458
0,03;7,02;0,67;6,650
-0,04;7,02;0,67;6,824
-0,07;7,02;0,67;7,016
-0,11;7,02;0,67;7,208
0,02;7,02;0,67;7,400
-0,03;7,02;0,67;7,575
0,02;7,02;0,67;7,732
-0,11;7,02;0,67;7,889
-0,04;7,02;0,67;8,063
-0,10;7,02;0,67;8,273
0,01;7,02;0,67;8,500
-0,08;7,02;0,67;8,674
0,01;7,02;0,67;8,796
-0,06;7,02;0,67;8,919
0,01;7,02;0,67;9,058
-0,02;7,02;0,67;9,198
0,07;7,02;0,67;9,407
-0,01;7,02;0,67;9,652
0,06;7,02;0,67;9,896
-0,03;7,02;0,67;10,123
0,08;7,02;0,67;10,315
0,07;7,02;0,67;10,507
0,16;7,02;0,67;10,681
0,18;7,02;0,67;10,838
0,16;7,02;0,67;10,961
0,24;7,02;0,67;11,100
0,16;7,02;0,67;11,257
0,20;7,02;0,67;11,414
0,28;7,02;0,67;11,589
0,25;7,02;0,67;11,746
0,22;7,02;0,67;11,921
0,30;7,02;0,67;12,130
0,33;7,02;0,67;12,339
0,32;7,02;0,67;12,566
0,33;7,02;0,67;12,776
0,46;7,02;0,67;12,985
0,50;7,02;0,67;13,142
0,77;7,02;0,67;13,265
0,88;7,02;0,67;13,352
1,01;7,02;0,67;13,456
1,08;7,02;0,67;13,561
1,28;7,02;0,67;13,701
1,41;7,02;0,67;13,875
1,74;7,02;0,67;14,050
1,94;7,02;0,67;14,207
2,55;7,02;0,67;14,382
2,98;7,02;0,67;14,539
3,78;7,02;0,67;14,696
4,60;7,02;0,67;14,870
5,31;7,02;0,67;15,045
7,11;7,02;0,67;15,184
8,34;7,02;0,67;15,272
10,97;7,02;0,67;15,341
12,16;7,02;0,67;15,429
14,34;7,02;0,67;15,533
15,56;7,02;0,67;15,691
18,93;7,02;0,67;15,882
21,42;7,02;0,67;16,057
24,51;7,02;0,67;16,232
30,87;7,02;0,67;16,389
33,92;7,02;0,67;16,511
38,39;7,02;0,67;16,633
39,38;7,02;0,67;16,790
39,66;7,02;0,67;16,965
38,74;7,02;0,67;17,157
34,02;7,02;0,67;17,349
30,60;7,02;0,67;17,523
23,43;7,02;0,67;17,715
19,87;7,02;0,67;17,872
16,69;7,02;0,67;18,047
11,30;7,02;0,67;18,186
9,11;7,02;0,67;18,274
5,73;7,02;0,67;18,378
4,43;7,02;0,67;18,483
2,50;7,02;0,67;18,605
1,81;7,02;0,67;18,745
1,09;7,02;0,67;18,902
0,80;7,02;0,67;19,076
0,55;7,02;0,67;19,251
0,54;7,02;0,67;19,408
0,37;7,02;0,67;19,583
0,33;7,02;0,67;19,722
0,27;7,02;0,67;19,844
0,16;7,02;0,67;19,984
0,21;7,02;0,67;20,106
0,24;7,02;0,67;20,211
0,21;7,02;0,67;20,316
0,22;7,02;0,67;20,420
0,21;7,02;0,67;20,508
0,22;7,02;0,67;20,630
0,30;7,02;0,67;20,735
0,17;7,02;0,67;20,874
0,25;7,02;0,67;21,031
0,32;7,02;0,67;21,188
0,28;7,02;0,67;21,363
0,25;7,02;0,67;21,502
0,30;7,02;0,67;21,677
0,32;7,02;0,67;21,834
0,23;7,02;0,67;21,991
0,17;7,02;0,67;22,113
0,23;7,02;0,67;22,218
0,19;7,02;0,67;22,340
0,09;7,02;0,67;22,462
0,08;7,02;0,67;22,567
0,17;7,02;0,67;22,672
0,15;7,02;0,67;22,811
0,10;7,02;0,67;22,916
