"Relative Intensity (%) Run #1";"Output Voltage Ch H (V) Run #1";"Output Current Ch H (A) Run #1";"Angle (rad) Run #1";"Relative Intensity (%) Run #2";"Output Voltage Ch H (V) Run #2";"Output Current Ch H (A) Run #2";"Angle (rad) Run #2";"Relative Intensity (%) Run #3";"Output Voltage Ch H (V) Run #3";"Output Current Ch H (A) Run #3";"Angle (rad) Run #3";"Relative Intensity (%) Run #4";"Output Voltage Ch H (V) Run #4";"Output Current Ch H (A) Run #4";"Angle (rad) Run #4"
0,09;5,02;0,58;29,147;-0,01;6,02;0,63;26,721;0,09;7,02;0,67;29,793;-0,30;8,02;0,71;21,293
0,14;5,02;0,58;29,374;-0,02;6,02;0,63;26,843;0,17;7,02;0,67;30,037;-0,15;8,02;0,71;21,485
0,17;5,02;0,58;29,601;-0,03;6,02;0,63;26,965;0,15;7,02;0,67;30,247;-0,17;8,02;0,71;21,660
0,14;5,02;0,58;29,793;-0,10;6,02;0,63;27,088;0,22;7,02;0,67;30,404;-0,25;8,02;0,71;21,834
0,11;5,02;0,58;29,932;-0,09;6,02;0,63;27,192;0,11;7,02;0,67;30,543;-0,35;8,02;0,71;21,991
0,09;5,02;0,58;30,055;-0,04;6,02;0,62;27,314;0,04;7,02;0,67;30,648;-0,30;8,02;0,71;22,201
0,11;5,02;0,58;30,142;-0,02;6,02;0,63;27,454;0,08;7,02;0,67;30,805;-0,37;8,02;0,71;22,445
-0,02;5,02;0,58;30,264;0,01;6,02;0,63;27,594;0,07;7,02;0,67;30,980;-0,19;8,02;0,71;22,672
-0,01;5,02;0,58;30,421;-0,05;6,02;0,63;27,733;0,22;7,02;0,67;31,172;-0,28;8,02;0,71;22,881
0,02;5,02;0,58;30,631;-0,09;6,02;0,63;27,873;0,24;7,02;0,67;31,381;-0,36;8,02;0,71;23,073
0,10;5,02;0,58;30,857;-0,05;6,02;0,62;28,047;0,32;7,02;0,67;31,590;-0,29;8,02;0,71;23,265
0,07;5,02;0,58;31,049;-0,12;6,02;0,62;28,222;0,28;7,02;0,67;31,817;-0,31;8,02;0,71;23,492
0,14;5,02;0,58;31,259;-0,11;6,02;0,62;28,397;0,27;7,02;0,67;32,062;-0,33;8,02;0,71;23,702
0,06;5,02;0,58;31,468;-0,12;6,02;0,62;28,571;0,26;7,02;0,67;32,323;-0,26;8,02;0,71;23,946
0,11;5,02;0,58;31,643;-0,08;6,02;0,62;28,763;0,23;7,02;0,67;32,550;-0,28;8,02;0,71;24,173
0,17;5,02;0,58;31,800;-0,03;6,02;0,62;28,990;0,20;7,02;0,67;32,707;-0,26;8,02;0,71;24,400
0,12;5,02;0,58;31,922;-0,05;6,02;0,63;29,234;0,28;7,02;0,67;32,795;-0,26;8,02;0,71;24,644
0,16;5,02;0,58;32,062;-0,10;6,02;0,63;29,496;0,23;7,02;0,67;32,882;-0,35;8,02;0,71;24,871
0,19;5,02;0,58;32,236;0,01;6,02;0,62;29,723;0,22;7,02;0,67;32,952;-0,29;8,02;0,71;25,080
0,09;5,02;0,58;32,411;0,00;6,02;0,62;29,932;0,27;7,02;0,67;33,074;-0,31;8,02;0,71;25,290
0,13;5,02;0,58;32,620;0,04;6,02;0,62;30,124;0,28;7,02;0,67;33,266;-0,35;8,02;0,71;25,482
0,22;5,02;0,58;32,812;-0,04;6,02;0,62;30,299;0,21;7,02;0,67;33,510;-0,40;8,02;0,71;25,709
0,13;5,02;0,58;33,004;-0,07;6,02;0,62;30,473;0,26;7,02;0,67;33,772;-0,36;8,02;0,71;25,918
0,12;5,02;0,58;33,196;-0,08;6,02;0,62;30,631;0,18;7,02;0,67;34,051;-0,29;8,02;0,71;26,075
0,07;5,02;0,58;33,406;-0,06;6,02;0,62;30,788;0,17;7,02;0,67;34,313;-0,31;8,02;0,71;26,250
0,11;5,02;0,58;33,580;-0,10;6,02;0,62;30,962;0,09;7,02;0,67;34,523;-0,24;8,02;0,71;26,424
0,16;5,02;0,58;33,737;-0,17;6,02;0,62;31,154;0,23;7,02;0,67;34,715;-0,26;8,02;0,71;26,599
0,07;5,02;0,58;33,859;-0,19;6,02;0,62;31,364;0,25;7,02;0,67;34,872;-0,26;8,02;0,71;26,843
0,04;5,02;0,58;33,999;-0,01;6,02;0,62;31,573;0,25;7,02;0,67;35,046;-0,37;8,02;0,71;27,175
-0,04;5,02;0,58;34,156;-0,01;6,02;0,62;31,800;0,14;7,02;0,67;35,256;-0,28;8,02;0,71;27,541
0,05;5,02;0,58;34,331;0,02;6,02;0,62;32,009;0,22;7,02;0,67;35,430;-0,29;8,02;0,71;27,873
0,01;5,02;0,58;34,523;-0,01;6,02;0,62;32,201;0,26;7,02;0,67;35,605;-0,26;8,02;0,71;28,187
-0,01;5,02;0,58;34,697;-0,08;6,02;0,62;32,358;0,17;7,02;0,67;35,779;-0,39;8,02;0,71;28,484
0,08;5,02;0,58;34,854;-0,06;6,02;0,62;32,498;0,19;7,02;0,67;35,936;-0,24;8,02;0,71;28,763
0,03;5,02;0,58;34,976;-0,05;6,02;0,62;32,620;0,11;7,02;0,67;36,076;-0,27;8,02;0,71;29,042
0,03;5,02;0,58;35,099;-0,08;6,02;0,62;32,742;0,11;7,02;0,67;36,181;-0,28;8,02;0,71;29,356
0,09;5,02;0,58;35,221;-0,10;6,02;0,62;32,899;0,09;7,02;0,67;36,285;-0,29;8,02;0,71;29,653
0,02;5,02;0,58;35,308;-0,07;6,02;0,62;33,039;0,08;7,02;0,67;36,425;-0,37;8,02;0,71;29,932
-0,02;5,02;0,58;35,413;-0,01;6,02;0,62;33,196;-0,18;7,02;0,67;36,547;-0,39;8,02;0,71;30,194
0,05;5,02;0,58;35,535;-0,09;6,02;0,62;33,318;-0,08;7,02;0,67;36,704;-0,38;8,02;0,71;30,421
-0,07;5,02;0,58;35,692;-0,07;6,02;0,62;33,441;0,05;7,02;0,67;36,914;-0,34;8,02;0,71;30,683
-0,02;5,02;0,58;35,797;-0,15;6,02;0,62;33,580;0,17;7,02;0,67;37,123;-0,31;8,02;0,71;30,962
