"Relative Intensity (%) Run #4";"Output Voltage Ch H (V) Run #4";"Output Current Ch H (A) Run #4";"Angle (rad) Run #4"
-0,10;6,51;0,66;0,000
-0,13;6,52;0,66;0,000
-0,20;6,52;0,66;0,000
-0,14;6,52;0,66;0,000
-0,12;6,52;0,66;0,000
-0,19;6,52;0,66;0,000
-0,17;6,52;0,66;0,000
-0,09;6,52;0,66;0,000
-0,10;6,52;0,66;0,000
-0,06;6,52;0,66;0,000
-0,05;6,52;0,66;0,000
-0,02;6,52;0,66;0,000
0,01;6,52;0,66;0,000
-0,06;6,52;0,66;0,000
-0,02;6,52;0,66;0,000
-0,02;6,52;0,66;0,000
0,06;6,52;0,66;-0,017
-0,04;6,52;0,66;-0,017
-0,07;6,52;0,66;-0,017
-0,04;6,52;0,66;-0,017
-0,09;6,52;0,66;-0,017
-0,02;6,52;0,66;-0,017
-0,06;6,52;0,66;-0,017
-0,05;6,52;0,66;-0,017
0,00;6,52;0,66;-0,017
0,00;6,52;0,66;-0,017
0,00;6,52;0,66;-0,017
0,00;6,52;0,66;-0,017
0,00;6,52;0,66;-0,017
0,00;6,52;0,66;-0,017
0,00;6,52;0,66;-0,017
0,00;6,52;0,66;-0,017
0,00;6,52;0,66;-0,017
0,00;6,52;0,66;-0,017
0,00;6,52;0,65;-0,017
0,00;6,52;0,65;-0,017
0,00;6,52;0,65;0,000
0,00;6,52;0,65;0,000
0,00;6,52;0,65;0,000
0,00;6,52;0,65;0,000
0,00;6,52;0,65;0,000
0,00;6,52;0,65;0,000
0,00;6,52;0,65;0,000
0,00;6,52;0,65;0,000
0,00;6,52;0,65;0,000
0,00;6,52;0,65;0,000
0,00;6,52;0,65;0,000
0,00;6,52;0,65;0,000
0,00;6,52;0,65;0,000
0,00;6,52;0,65;0,000
0,00;6,52;0,65;0,000
0,00;6,52;0,65;0,000
0,00;6,52;0,65;0,000
0,00;6,52;0,65;0,000
0,00;6,52;0,65;0,000
0,00;6,52;0,65;0,000
