"Relative Intensity (%) Run #6";"Output Voltage Ch H (V) Run #6";"Output Current Ch H (A) Run #6";"Angle (rad) Run #6"
-0,55;7,51;0,70;0,000
-0,49;7,51;0,70;0,000
-0,60;7,51;0,70;0,000
-0,56;7,51;0,70;0,000
-0,85;7,51;0,70;0,000
-0,66;7,51;0,70;0,000
-0,58;7,51;0,70;0,000
-0,60;7,51;0,70;0,000
-0,57;7,51;0,70;0,000
-0,62;7,51;0,70;0,000
-0,59;7,51;0,70;0,000
-0,56;7,51;0,70;0,000
-0,58;7,51;0,70;0,000
-0,60;7,51;0,70;0,000
-0,60;7,51;0,70;0,000
-0,56;7,51;0,70;0,000
-0,50;7,51;0,70;0,000
-0,57;7,51;0,70;0,000
-0,58;7,51;0,70;0,000
-0,63;7,51;0,70;0,000
-0,60;7,51;0,70;0,000
-0,50;7,51;0,70;0,000
-0,51;7,51;0,70;0,000
-0,52;7,51;0,70;0,000
-0,53;7,51;0,70;0,000
-0,51;7,51;0,70;0,000
-0,50;7,51;0,70;0,000
-0,50;7,51;0,70;0,000
-0,49;7,51;0,70;0,000
-0,52;7,51;0,70;0,000
-0,51;7,51;0,70;0,000
-0,54;7,51;0,70;0,000
-0,57;7,51;0,70;0,000
-0,56;7,51;0,70;0,000
0,00;7,51;0,70;0,000
0,00;7,51;0,70;0,000
0,00;7,51;0,70;0,000
0,00;7,51;0,70;0,000
0,00;7,51;0,70;0,000
0,00;7,51;0,70;0,000
0,00;7,51;0,70;0,000
0,00;7,51;0,70;0,000
0,00;7,51;0,70;0,000
0,00;7,51;0,70;0,000
0,00;7,51;0,70;0,000
0,00;7,51;0,70;0,000
0,00;7,51;0,70;0,000
0,00;7,51;0,70;0,000
0,00;7,51;0,70;0,000
0,00;7,51;0,70;0,000
0,00;7,51;0,70;0,000
0,00;7,51;0,70;0,000
0,00;7,51;0,70;0,000
0,00;7,51;0,70;0,000
0,00;7,51;0,70;0,000
0,00;7,51;0,70;0,000
0,00;7,51;0,70;0,000
0,00;7,51;0,70;0,000
0,00;7,51;0,70;0,000
0,00;7,51;0,70;0,000
0,00;7,51;0,70;0,000
0,00;7,51;0,70;0,000
0,00;7,51;0,70;0,000
0,00;7,51;0,70;0,000
0,00;7,51;0,70;0,000
0,00;7,51;0,70;0,000
0,00;7,51;0,70;0,000
0,00;7,51;0,70;0,000
0,00;7,51;0,70;0,000
0,00;7,51;0,70;0,000
0,00;7,51;0,70;0,000
-0,07;7,51;0,70;0,000
0,04;7,51;0,70;0,000
0,08;7,51;0,70;0,000
0,03;7,51;0,70;0,000
0,10;7,51;0,70;0,000
-0,03;7,51;0,70;0,000
-0,02;7,51;0,70;0,000
-0,02;7,51;0,70;0,000
0,06;7,52;0,70;0,000
-0,04;7,51;0,70;0,000
-0,03;7,51;0,70;0,000
-0,01;7,52;0,70;0,000
-0,04;7,52;0,70;0,000
0,03;7,51;0,70;0,000
0,07;7,52;0,70;0,000
0,00;7,52;0,70;0,017
0,00;7,52;0,70;0,017
0,01;7,52;0,70;0,052
-0,09;7,52;0,70;0,175
-0,08;7,52;0,70;0,262
-0,07;7,52;0,70;0,332
-0,05;7,52;0,70;0,419
-0,03;7,52;0,70;0,471
-0,03;7,52;0,70;0,524
0,07;7,52;0,70;0,628
0,01;7,52;0,70;0,733
-0,05;7,52;0,70;0,908
-0,05;7,52;0,70;1,117
-0,09;7,52;0,70;1,344
-0,01;7,52;0,70;1,536
-0,01;7,52;0,70;1,693
0,07;7,52;0,70;1,763
0,05;7,52;0,70;1,780
-0,01;7,52;0,70;1,798
-0,11;7,52;0,70;1,815
0,02;7,52;0,70;1,815
0,06;7,52;0,70;1,833
0,02;7,52;0,70;1,833
-0,01;7,52;0,70;1,850
-0,08;7,52;0,70;1,885
-0,12;7,52;0,70;1,920
-0,07;7,52;0,70;1,955
-0,06;7,52;0,70;2,042
-0,08;7,52;0,70;2,112
-0,02;7,52;0,70;2,199
-0,13;7,52;0,70;2,321
-0,05;7,52;0,69;2,391
-0,04;7,52;0,70;2,478
-0,10;7,52;0,69;2,566
0,03;7,52;0,69;2,635
-0,07;7,52;0,69;2,723
-0,18;7,52;0,69;2,827
