"Relative Intensity (%) Run #3";"Output Voltage Ch H (V) Run #3";"Output Current Ch H (A) Run #3";"Angle (rad) Run #3"
-0,28;6,02;0,63;0,000
-0,28;6,02;0,63;0,000
-0,34;6,02;0,63;0,000
-0,40;6,02;0,63;0,000
-0,36;6,02;0,63;0,000
-0,24;6,02;0,63;0,000
-0,29;6,02;0,63;0,000
-0,39;6,02;0,63;0,000
-0,35;6,02;0,63;-0,017
-0,27;6,02;0,63;0,000
-0,33;6,02;0,63;0,000
-0,32;6,02;0,63;0,000
-0,33;6,02;0,63;0,000
-0,34;6,02;0,63;0,000
-0,42;6,02;0,63;0,000
-0,41;6,02;0,63;-0,017
-0,43;6,02;0,63;-0,017
-0,33;6,02;0,63;0,000
-0,40;6,02;0,63;0,000
-0,41;6,02;0,63;0,000
-0,45;6,02;0,63;-0,017
-0,34;6,02;0,63;-0,017
-0,38;6,02;0,63;-0,017
-0,38;6,02;0,63;-0,017
0,00;6,02;0,63;-0,017
0,00;6,02;0,63;-0,017
0,00;6,02;0,63;-0,017
0,00;6,02;0,63;-0,017
0,00;6,02;0,63;-0,017
0,00;6,02;0,63;-0,017
0,00;6,02;0,63;0,000
0,00;6,02;0,63;0,000
0,00;6,02;0,63;0,000
0,00;6,02;0,63;0,000
0,00;6,02;0,63;0,000
0,00;6,02;0,63;0,000
0,00;6,02;0,63;0,000
0,00;6,02;0,63;0,000
0,00;6,02;0,63;0,000
0,00;6,02;0,63;0,000
0,00;6,02;0,63;0,000
0,00;6,02;0,63;0,000
0,00;6,02;0,63;0,000
0,00;6,02;0,63;0,000
0,00;6,02;0,63;0,000
0,00;6,02;0,63;0,000
0,00;6,02;0,63;0,000
0,00;6,02;0,63;0,000
0,00;6,02;0,63;0,000
0,00;6,02;0,63;0,000
0,00;6,02;0,63;0,000
0,00;6,02;0,63;0,000
0,00;6,02;0,63;0,000
0,00;6,02;0,63;0,000
0,00;6,02;0,63;0,000
0,00;6,02;0,63;0,000
0,00;6,02;0,63;0,000
0,00;6,02;0,63;0,000
0,00;6,02;0,63;0,000
0,00;6,02;0,63;0,000
0,00;6,02;0,63;0,000
-0,13;6,02;0,63;0,000
-0,05;6,02;0,63;0,000
-0,11;6,02;0,63;0,000
-0,03;6,02;0,63;0,000
-0,10;6,02;0,63;0,000
-0,03;6,02;0,63;0,000
-0,07;6,02;0,63;0,000
-0,13;6,02;0,63;0,000
-0,17;6,02;0,63;0,000
-0,09;6,02;0,63;0,000
-0,08;6,02;0,63;0,000
-0,20;6,02;0,63;0,000
-0,16;6,02;0,63;0,000
-0,19;6,02;0,63;0,000
-0,17;6,02;0,63;0,000
-0,05;6,02;0,63;0,000
-0,17;6,02;0,63;0,000
-0,10;6,02;0,63;0,000
-0,07;6,02;0,63;0,000
-0,08;6,02;0,63;0,000
-0,07;6,02;0,63;0,000
-0,11;6,02;0,63;0,000
-0,09;6,02;0,63;0,000
-0,13;6,02;0,63;0,017
-0,09;6,02;0,63;0,157
-0,15;6,02;0,63;0,227
-0,15;6,02;0,63;0,262
-0,06;6,02;0,63;0,279
-0,08;6,02;0,63;0,297
