"Relative Intensity (%) Run #1";"Output Voltage Ch H (V) Run #1";"Output Current Ch H (A) Run #1";"Angle (rad) Run #1"
0,52;5,01;0,58;0,000
0,52;5,01;0,58;0,000
0,47;5,01;0,58;0,000
0,44;5,01;0,58;0,000
0,45;5,01;0,58;0,000
0,45;5,01;0,58;0,000
0,45;5,01;0,58;0,000
0,49;5,01;0,58;0,000
0,38;5,01;0,58;0,000
0,48;5,01;0,58;0,000
0,48;5,01;0,58;0,000
0,42;5,01;0,58;0,000
0,45;5,01;0,58;0,000
0,43;5,01;0,58;0,000
0,41;5,01;0,58;0,000
0,44;5,01;0,58;0,000
0,55;5,02;0,58;0,000
0,40;5,02;0,58;0,000
0,55;5,02;0,58;0,000
0,60;5,02;0,58;0,000
0,50;5,02;0,58;0,000
0,50;5,02;0,58;0,000
0,49;5,02;0,58;0,000
0,49;5,02;0,58;0,000
0,53;5,02;0,58;0,000
0,55;5,02;0,58;0,000
0,00;5,02;0,58;0,000
0,00;5,02;0,58;0,000
0,00;5,02;0,58;0,000
0,00;5,02;0,58;0,000
0,00;5,02;0,58;0,000
0,00;5,02;0,58;0,000
0,00;5,02;0,58;0,000
0,00;5,02;0,58;0,000
0,00;5,02;0,58;0,000
0,00;5,02;0,58;0,000
0,00;5,02;0,58;0,000
0,00;5,02;0,58;0,000
0,00;5,02;0,58;0,000
0,00;5,02;0,58;0,000
0,00;5,02;0,58;0,000
0,00;5,02;0,58;0,000
0,00;5,02;0,58;0,000
0,00;5,02;0,58;0,000
0,00;5,02;0,58;0,000
0,00;5,02;0,58;0,000
0,00;5,02;0,58;0,000
0,00;5,02;0,58;0,000
0,00;5,02;0,58;0,000
0,00;5,02;0,58;0,000
0,00;5,02;0,58;0,000
0,00;5,02;0,58;0,000
0,00;5,02;0,58;0,000
0,00;5,02;0,58;0,000
0,00;5,02;0,58;0,000
0,00;5,02;0,58;0,000
0,00;5,02;0,58;0,000
0,00;5,02;0,58;0,000
0,00;5,02;0,58;0,000
0,00;5,02;0,58;0,000
0,00;5,02;0,58;0,000
0,00;5,02;0,58;0,000
0,00;5,02;0,58;0,000
-0,15;5,02;0,58;0,000
-0,06;5,02;0,58;0,000
-0,02;5,02;0,58;0,000
-0,16;5,02;0,58;0,000
-0,05;5,02;0,58;0,000
-0,09;5,02;0,58;0,000
-0,11;5,02;0,58;0,000
-0,06;5,02;0,58;0,000
-0,09;5,02;0,58;0,000
-0,13;5,02;0,58;0,000
-0,14;5,02;0,58;0,000
-0,15;5,02;0,58;0,000
-0,06;5,02;0,58;0,000
-0,05;5,02;0,58;0,000
-0,04;5,02;0,58;0,000
-0,12;5,02;0,58;0,017
-0,11;5,02;0,58;0,017
-0,12;5,02;0,58;0,017
-0,16;5,02;0,58;0,017
-0,16;5,02;0,58;0,017
-0,13;5,02;0,58;0,017
-0,17;5,02;0,58;0,017
-0,15;5,02;0,58;0,017
-0,13;5,02;0,58;0,017
-0,10;5,02;0,58;0,017
-0,08;5,02;0,58;0,017
-0,04;5,02;0,58;0,017
-0,09;5,02;0,58;0,017
-0,12;5,02;0,58;0,017
-0,16;5,02;0,58;0,035
-0,25;5,02;0,58;0,035
-0,06;5,02;0,58;0,035
-0,02;5,02;0,58;0,052
-0,07;5,02;0,58;0,105
-0,04;5,02;0,58;0,279
-0,06;5,02;0,58;0,663
-0,10;5,02;0,58;1,012
-0,02;5,02;0,58;1,292
-0,01;5,02;0,58;1,518
-0,04;5,02;0,58;1,745
0,00;5,02;0,58;1,955
0,00;5,02;0,58;2,182
-0,07;5,02;0,58;2,443
0,01;5,02;0,58;2,670
-0,06;5,02;0,58;2,897
-0,07;5,02;0,58;3,089
-0,01;5,02;0,58;3,299
-0,03;5,02;0,58;3,491
-0,12;5,02;0,58;3,718
-0,16;5,02;0,58;3,944
-0,09;5,02;0,58;4,171
-0,06;5,02;0,58;4,381
-0,07;5,02;0,58;4,608
-0,05;5,02;0,58;4,835
-0,06;5,02;0,58;5,044
-0,08;5,02;0,58;5,219
-0,19;5,02;0,58;5,358
-0,10;5,02;0,58;5,445
-0,04;5,02;0,58;5,568
-0,19;5,02;0,58;5,725
-0,11;5,02;0,58;5,934
-0,07;5,02;0,58;6,178
-0,12;5,02;0,58;6,388
-0,11;5,02;0,58;6,545
-0,04;5,02;0,58;6,685
-0,03;5,02;0,58;6,789
-0,05;5,02;0,58;6,929
0,01;5,02;0,58;7,086
-0,04;5,02;0,58;7,261
-0,04;5,02;0,58;7,435
-0,13;5,02;0,58;7,592
-0,14;5,02;0,58;7,749
-0,11;5,02;0,58;7,941
-0,06;5,02;0,58;8,098
-0,06;5,02;0,58;8,238
-0,03;5,02;0,58;8,378
-0,10;5,02;0,58;8,517
-0,13;5,02;0,58;8,674
-0,21;5,02;0,58;8,814
-0,14;5,02;0,58;8,936
-0,12;5,02;0,58;9,058
-0,13;5,02;0,58;9,180
-0,12;5,02;0,58;9,285
-0,18;5,02;0,58;9,407
-0,14;5,02;0,58;9,529
-0,09;5,02;0,58;9,652
-0,05;5,02;0,58;9,774
-0,14;5,02;0,58;9,896
-0,16;5,02;0,58;10,018
-0,16;5,02;0,58;10,175
-0,12;5,02;0,58;10,297
-0,09;5,02;0,58;10,402
0,00;5,02;0,58;10,455
0,03;5,02;0,58;10,524
-0,09;5,02;0,58;10,629
-0,09;5,02;0,58;10,786
-0,08;5,02;0,58;10,961
-0,08;5,02;0,58;11,135
-0,02;5,02;0,58;11,275
-0,09;5,02;0,58;11,414
-0,16;5,02;0,58;11,589
-0,12;5,02;0,58;11,764
-0,11;5,02;0,58;11,938
-0,03;5,02;0,58;12,113
-0,03;5,02;0,58;12,270
-0,06;5,02;0,58;12,427
-0,05;5,02;0,58;12,531
-0,06;5,02;0,58;12,636
-0,09;5,02;0,58;12,741
0,01;5,02;0,58;12,828
0,02;5,02;0,58;12,950
-0,04;5,02;0,58;13,090
-0,02;5,02;0,58;13,195
0,10;5,02;0,58;13,334
0,12;5,02;0,58;13,474
0,16;5,02;0,58;13,631
0,12;5,02;0,58;13,771
0,15;5,02;0,58;13,928
0,30;5,02;0,58;14,120
0,27;5,02;0,58;14,329
0,64;5,02;0,58;14,521
0,82;5,02;0,58;14,643
1,17;5,02;0,58;14,748
1,40;5,02;0,58;14,818
1,93;5,02;0,58;14,940
2,20;5,02;0,58;15,080
2,77;5,02;0,58;15,237
3,18;5,02;0,58;15,359
3,77;5,02;0,58;15,464
5,23;5,02;0,58;15,568
5,94;5,02;0,58;15,708
7,56;5,02;0,58;15,865
8,63;5,02;0,58;16,022
11,59;5,02;0,58;16,162
13,21;5,02;0,58;16,319
16,49;5,02;0,58;16,476
18,03;5,02;0,58;16,633
19,92;5,02;0,58;16,790
20,28;5,02;0,58;16,947
20,21;5,02;0,58;17,069
18,68;5,02;0,58;17,209
17,38;5,02;0,58;17,349
14,54;5,02;0,58;17,488
13,01;5,02;0,58;17,645
9,81;5,02;0,58;17,785
8,28;5,02;0,58;17,925
7,10;5,02;0,58;18,082
4,89;5,02;0,58;18,239
3,92;5,02;0,58;18,396
1,92;5,02;0,58;18,605
1,25;5,02;0,58;18,867
0,61;5,02;0,58;19,111
0,34;5,02;0,58;19,338
0,08;5,02;0,58;19,530
0,08;5,02;0,58;19,705
-0,01;5,02;0,58;19,932
-0,08;5,02;0,58;20,211
-0,11;5,02;0,58;20,473
-0,12;5,02;0,58;20,700
-0,12;5,02;0,58;20,874
-0,15;5,02;0,58;21,031
-0,21;5,02;0,58;21,153
-0,38;5,02;0,58;21,276
-0,16;5,02;0,58;21,415
-0,11;5,02;0,58;21,572
-0,01;5,02;0,58;21,764
-0,10;5,02;0,58;21,939
-0,01;5,02;0,58;22,113
-0,09;5,02;0,58;22,305
-0,12;5,02;0,58;22,532
-0,02;5,02;0,58;22,846
-0,06;5,02;0,58;23,161
0,02;5,02;0,58;23,422
-0,06;5,02;0,58;23,579
-0,06;5,02;0,58;23,684
-0,02;5,02;0,58;23,806
-0,08;5,02;0,58;23,928
-0,09;5,02;0,58;24,103
-0,10;5,02;0,58;24,278
-0,03;5,02;0,58;24,435
-0,06;5,02;0,58;24,592
2,44E-4;5,02;0,58;24,749
-0,03;5,02;0,58;24,906
-0,12;5,02;0,58;25,080
-0,17;5,02;0,58;25,203
